prompt,classname,classidx
"A photo of a AM General Hummer SUV 2000, a type of car.",AM General Hummer SUV 2000,0
"A photo of a Acura RL Sedan 2012, a type of car.",Acura RL Sedan 2012,1
"A photo of a Acura TL Sedan 2012, a type of car.",Acura TL Sedan 2012,2
"A photo of a Acura TL Type-S 2008, a type of car.",Acura TL Type-S 2008,3
"A photo of a Acura TSX Sedan 2012, a type of car.",Acura TSX Sedan 2012,4
"A photo of a Acura Integra Type R 2001, a type of car.",Acura Integra Type R 2001,5
"A photo of a Acura ZDX Hatchback 2012, a type of car.",Acura ZDX Hatchback 2012,6
"A photo of a Aston Martin V8 Vantage Convertible 2012, a type of car.",Aston Martin V8 Vantage Convertible 2012,7
"A photo of a Aston Martin V8 Vantage Coupe 2012, a type of car.",Aston Martin V8 Vantage Coupe 2012,8
"A photo of a Aston Martin Virage Convertible 2012, a type of car.",Aston Martin Virage Convertible 2012,9
"A photo of a Aston Martin Virage Coupe 2012, a type of car.",Aston Martin Virage Coupe 2012,10
"A photo of a Audi RS 4 Convertible 2008, a type of car.",Audi RS 4 Convertible 2008,11
"A photo of a Audi A5 Coupe 2012, a type of car.",Audi A5 Coupe 2012,12
"A photo of a Audi TTS Coupe 2012, a type of car.",Audi TTS Coupe 2012,13
"A photo of a Audi R8 Coupe 2012, a type of car.",Audi R8 Coupe 2012,14
"A photo of a Audi V8 Sedan 1994, a type of car.",Audi V8 Sedan 1994,15
"A photo of a Audi 100 Sedan 1994, a type of car.",Audi 100 Sedan 1994,16
"A photo of a Audi 100 Wagon 1994, a type of car.",Audi 100 Wagon 1994,17
"A photo of a Audi TT Hatchback 2011, a type of car.",Audi TT Hatchback 2011,18
"A photo of a Audi S6 Sedan 2011, a type of car.",Audi S6 Sedan 2011,19
"A photo of a Audi S5 Convertible 2012, a type of car.",Audi S5 Convertible 2012,20
"A photo of a Audi S5 Coupe 2012, a type of car.",Audi S5 Coupe 2012,21
"A photo of a Audi S4 Sedan 2012, a type of car.",Audi S4 Sedan 2012,22
"A photo of a Audi S4 Sedan 2007, a type of car.",Audi S4 Sedan 2007,23
"A photo of a Audi TT RS Coupe 2012, a type of car.",Audi TT RS Coupe 2012,24
"A photo of a BMW ActiveHybrid 5 Sedan 2012, a type of car.",BMW ActiveHybrid 5 Sedan 2012,25
"A photo of a BMW 1 Series Convertible 2012, a type of car.",BMW 1 Series Convertible 2012,26
"A photo of a BMW 1 Series Coupe 2012, a type of car.",BMW 1 Series Coupe 2012,27
"A photo of a BMW 3 Series Sedan 2012, a type of car.",BMW 3 Series Sedan 2012,28
"A photo of a BMW 3 Series Wagon 2012, a type of car.",BMW 3 Series Wagon 2012,29
"A photo of a BMW 6 Series Convertible 2007, a type of car.",BMW 6 Series Convertible 2007,30
"A photo of a BMW X5 SUV 2007, a type of car.",BMW X5 SUV 2007,31
"A photo of a BMW X6 SUV 2012, a type of car.",BMW X6 SUV 2012,32
"A photo of a BMW M3 Coupe 2012, a type of car.",BMW M3 Coupe 2012,33
"A photo of a BMW M5 Sedan 2010, a type of car.",BMW M5 Sedan 2010,34
"A photo of a BMW M6 Convertible 2010, a type of car.",BMW M6 Convertible 2010,35
"A photo of a BMW X3 SUV 2012, a type of car.",BMW X3 SUV 2012,36
"A photo of a BMW Z4 Convertible 2012, a type of car.",BMW Z4 Convertible 2012,37
"A photo of a Bentley Continental Supersports Conv. Convertible 2012, a type of car.",Bentley Continental Supersports Conv. Convertible 2012,38
"A photo of a Bentley Arnage Sedan 2009, a type of car.",Bentley Arnage Sedan 2009,39
"A photo of a Bentley Mulsanne Sedan 2011, a type of car.",Bentley Mulsanne Sedan 2011,40
"A photo of a Bentley Continental GT Coupe 2012, a type of car.",Bentley Continental GT Coupe 2012,41
"A photo of a Bentley Continental GT Coupe 2007, a type of car.",Bentley Continental GT Coupe 2007,42
"A photo of a Bentley Continental Flying Spur Sedan 2007, a type of car.",Bentley Continental Flying Spur Sedan 2007,43
"A photo of a Bugatti Veyron 16.4 Convertible 2009, a type of car.",Bugatti Veyron 16.4 Convertible 2009,44
"A photo of a Bugatti Veyron 16.4 Coupe 2009, a type of car.",Bugatti Veyron 16.4 Coupe 2009,45
"A photo of a Buick Regal GS 2012, a type of car.",Buick Regal GS 2012,46
"A photo of a Buick Rainier SUV 2007, a type of car.",Buick Rainier SUV 2007,47
"A photo of a Buick Verano Sedan 2012, a type of car.",Buick Verano Sedan 2012,48
"A photo of a Buick Enclave SUV 2012, a type of car.",Buick Enclave SUV 2012,49
"A photo of a Cadillac CTS-V Sedan 2012, a type of car.",Cadillac CTS-V Sedan 2012,50
"A photo of a Cadillac SRX SUV 2012, a type of car.",Cadillac SRX SUV 2012,51
"A photo of a Cadillac Escalade EXT Crew Cab 2007, a type of car.",Cadillac Escalade EXT Crew Cab 2007,52
"A photo of a Chevrolet Silverado 1500 Hybrid Crew Cab 2012, a type of car.",Chevrolet Silverado 1500 Hybrid Crew Cab 2012,53
"A photo of a Chevrolet Corvette Convertible 2012, a type of car.",Chevrolet Corvette Convertible 2012,54
"A photo of a Chevrolet Corvette ZR1 2012, a type of car.",Chevrolet Corvette ZR1 2012,55
"A photo of a Chevrolet Corvette Ron Fellows Edition Z06 2007, a type of car.",Chevrolet Corvette Ron Fellows Edition Z06 2007,56
"A photo of a Chevrolet Traverse SUV 2012, a type of car.",Chevrolet Traverse SUV 2012,57
"A photo of a Chevrolet Camaro Convertible 2012, a type of car.",Chevrolet Camaro Convertible 2012,58
"A photo of a Chevrolet HHR SS 2010, a type of car.",Chevrolet HHR SS 2010,59
"A photo of a Chevrolet Impala Sedan 2007, a type of car.",Chevrolet Impala Sedan 2007,60
"A photo of a Chevrolet Tahoe Hybrid SUV 2012, a type of car.",Chevrolet Tahoe Hybrid SUV 2012,61
"A photo of a Chevrolet Sonic Sedan 2012, a type of car.",Chevrolet Sonic Sedan 2012,62
"A photo of a Chevrolet Express Cargo Van 2007, a type of car.",Chevrolet Express Cargo Van 2007,63
"A photo of a Chevrolet Avalanche Crew Cab 2012, a type of car.",Chevrolet Avalanche Crew Cab 2012,64
"A photo of a Chevrolet Cobalt SS 2010, a type of car.",Chevrolet Cobalt SS 2010,65
"A photo of a Chevrolet Malibu Hybrid Sedan 2010, a type of car.",Chevrolet Malibu Hybrid Sedan 2010,66
"A photo of a Chevrolet TrailBlazer SS 2009, a type of car.",Chevrolet TrailBlazer SS 2009,67
"A photo of a Chevrolet Silverado 2500HD Regular Cab 2012, a type of car.",Chevrolet Silverado 2500HD Regular Cab 2012,68
"A photo of a Chevrolet Silverado 1500 Classic Extended Cab 2007, a type of car.",Chevrolet Silverado 1500 Classic Extended Cab 2007,69
"A photo of a Chevrolet Express Van 2007, a type of car.",Chevrolet Express Van 2007,70
